rxte_obsid,source_id,canonical_source,archive_target_name,reference_class,class_label,proposal_id,cycle,observation_start,duration,exposure,archive_identifier,mapping_method,mapping_confidence,separation_deg,ra,dec,archive_status,status,query_record,notes,selection_method,inspection_sample
94404-01-07-00,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,94404,13,55106.90997,6319.0,3375.0,AO13/P94404/94404-01-07-00,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
95404-01-01-01,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,95404,14,55201.54544,12839.0,6480.0,AO14/P95404/95404-01-01-01,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
95404-01-09-02,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,95404,14,55501.70921,6184.0,3265.0,AO14/P95404/95404-01-09-02,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
96404-01-02-00,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,96404,15,55570.07191,3446.0,1493.0,AO15/P96404/96404-01-02-00,explicit_designation_and_independent_catalog_position,high,0.0006157888219194,94.28,9.137,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
96307-01-04-00,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,96307,15,55918.9098,4155.0,3415.0,AO15/P96307/96307-01-04-00,explicit_designation_and_independent_catalog_position,high,0.0002739863987555,94.2804,9.1369,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,False
96307-01-10-00,4u_0614_09,4U 0614+09,4U_0614+09,NS,NS,96307,15,55924.90195,4700.0,3312.0,AO15/P96307/96307-01-10-00,explicit_designation_and_independent_catalog_position,high,0.0002739863987555,94.2804,9.1369,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_0614_09.json,,chronological_even_rank_cap32_v1,True
90036-01-01-01,4u_1254_69,4U 1254-69,4U_1254-690,NS,NS,90036,9,53150.99358,16357.0,9684.0,AO9/P90036/90036-01-01-01,explicit_designation_and_independent_catalog_position,high,0.0051704839206429,194.405,-69.284,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_1254_69.json,,chronological_even_rank_cap32_v1,True
90036-01-01-02,4u_1254_69,4U 1254-69,4U_1254-690,NS,NS,90036,9,53151.19679,2484.0,1990.0,AO9/P90036/90036-01-01-02,explicit_designation_and_independent_catalog_position,high,0.0051704839206429,194.405,-69.284,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_1254_69.json,,chronological_even_rank_cap32_v1,False
90036-01-01-00,4u_1254_69,4U 1254-69,4U_1254-690,NS,NS,90036,9,53151.97694,16416.0,10041.0,AO9/P90036/90036-01-01-00,explicit_designation_and_independent_catalog_position,high,0.0051704839206429,194.405,-69.284,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_1254_69.json,,chronological_even_rank_cap32_v1,False
90036-01-01-03,4u_1254_69,4U 1254-69,4U_1254-690,NS,NS,90036,9,53152.18083,4230.0,3728.0,AO9/P90036/90036-01-01-03,explicit_designation_and_independent_catalog_position,high,0.0051704839206429,194.405,-69.284,archived,ACCEPTED_CANDIDATE,data/provenance/reconstruction/query_4u_1254_69.json,,chronological_even_rank_cap32_v1,False
